"TABLE 9: Weekday Trip Type Distribution"
""
"County","Trip.Type","Number","Percent"
"Sutter","HO",95000.5956436333,41.38
"Sutter","OO",57790.1256826895,25.17
"Sutter","HW",39682.122512867,17.29
"Sutter","HS",23078.4639502274,10.05
"Sutter","WO",9039.64455917226,3.94
"Sutter","HH",4499.04091062803,1.96
"Sutter","WW",477.814248080045,0.21
"Sutter","TOTAL",229568,100
"Tehama","HO",55362.6441540317,39.2
"Tehama","OO",29540.7207759317,20.92
"Tehama","HW",24171.1960622706,17.11
"Tehama","HS",21345.1828763219,15.11
"Tehama","WO",7649.42537119768,5.42
"Tehama","HH",2459.34414729293,1.74
"Tehama","WW",710.731259611278,0.5
"Tehama","TOTAL",141239,100
"Trinity","HO",13450.9859692306,44.98
"Trinity","OO",7934.79742004274,26.53
"Trinity","HW",3780.40340832146,12.64
"Trinity","HS",2279.02251189522,7.62
"Trinity","WO",1349.34878481926,4.51
"Trinity","HH",1109.42202772252,3.71
"Trinity","TOTAL",29904,99.99
"Tulare","HO",468243.121420019,41.82
"Tulare","OO",233784.42387037,20.88
"Tulare","HW",197723.505050889,17.66
"Tulare","HS",121689.253337377,10.87
"Tulare","WO",54827.6436799674,4.9
"Tulare","HH",37089.7793496179,3.31
"Tulare","WW",6272.5949195782,0.56
"Tulare","TOTAL",1119630,100
"Tuolumne","HO",57680.4556452437,41.97
"Tuolumne","OO",31256.6674880776,22.74
"Tuolumne","HW",20936.7941839054,15.23
"Tuolumne","HS",16541.396457013,12.04
"Tuolumne","WO",6889.59461067932,5.01
"Tuolumne","HH",3570.8740259986,2.6
"Tuolumne","WW",566.550631384867,0.41
"Tuolumne","TOTAL",137442,100
"Ventura","HO",941150.396629005,42.57
"Ventura","OO",427064.986043215,19.32
"Ventura","HW",390183.480135608,17.65
"Ventura","HS",265777.892825589,12.02
"Ventura","WO",122358.971183487,5.54
"Ventura","HH",56929.8715452621,2.58
"Ventura","WW",7116.28657543608,0.32
"Ventura","TOTAL",2210582,100
"Yolo","HO",246336.516600192,43.9
"Yolo","OO",113572.133301173,20.24
"Yolo","HW",98178.8228232453,17.5
"Yolo","HS",54639.4916943896,9.74
"Yolo","WO",30295.745244248,5.4
"Yolo","HH",17216.9466897688,3.07
"Yolo","WW",940.35748050654,0.17
"Yolo","TOTAL",561180,100.02
"Yuba","HO",76131.5816586963,43.9
"Yuba","OO",42398.5172328816,24.45
"Yuba","HW",23640.7573618894,13.63
"Yuba","HS",19098.1170076479,11.01
"Yuba","WO",6858.81576620946,3.95
"Yuba","HH",5243.8293398466,3.02
"Yuba","WW",55.7563220148671,0.03
"Yuba","TOTAL",173427,99.99
