"TABLE 54: Daily Travel Statistics by Weekday vs Weekend for each County"
""
"hCTFIP","County","WD","Vehicle Trips per Driver","Pct Works Trip","Pct Non-Work Trips","VMT per Driver","Average Trip Length","Average Trip Duration","Person Trips per Person","Person Miles per Person","Average Person Trip Length"
53,"Monterey","Weekday",3.28886341120283,40.7034506538946,59.2965493461054,32.4094195709239,9.12195042956543,20.7604783959615,3.6349525779122,32.4190839951613,8.93245595753632
53,"Monterey","Sat/Sun",3.48935863173915,18.1855796233787,81.8144203766213,39.9733236528106,10.6286013172483,20.9299533108478,3.59587113562438,55.7421478971606,15.5284551368664
55,"Napa","Weekday",3.65038006297384,32.2081886533392,67.7918113466608,29.8771565689577,7.51630308312432,18.468956151634,3.9360530227643,33.258230077961,8.45142632838643
55,"Napa","Sat/Sun",2.91179283822462,15.5525213047527,84.4474786952473,25.1306482156729,7.78001174312776,17.2949515565111,3.04197944471249,51.767194969482,17.0176018314202
57,"Nevada","Weekday",3.31963578881807,33.6101178220365,66.3898821779635,32.9022665997274,8.92489530898399,19.5227953954069,3.96160052561635,36.3580005190254,9.17760392142737
57,"Nevada","Sat/Sun",4.38993278782649,7.0997031148001,92.9002968851999,43.1936592046356,9.15604112145015,17.6941731615704,5.00353406112958,56.4656849052484,11.2851604916428
59,"Orange","Weekday",3.43398733781756,39.4291683768072,60.5708316231928,30.3485524307364,8.34313201844392,21.5031010118728,3.64842114018352,34.9523127711183,9.59237656700454
59,"Orange","Sat/Sun",3.39841352444204,13.5962960803019,86.4037039196981,33.3903194649658,9.08738594126781,20.5529453401087,3.70659319491694,45.9765682111454,12.4289183512382
61,"Placer","Weekday",3.71950565986942,29.3824910107308,70.6175089892692,33.8469674914866,8.36838193021813,19.1362833455803,4.16742927053238,34.488313135693,8.28718214753505
61,"Placer","Sat/Sun",3.11699303949629,9.66960255486061,90.3303974451394,44.9475685528691,13.7140031292667,25.3669672328655,3.62918017536824,52.301843734028,14.4114762030852
63,"Plumas","Weekday",3.58287986299414,27.9881991278389,72.0118008721611,29.9381554167326,7.06874878689051,14.3278114409699,4.46439667848404,30.497583660481,6.89576977550356
