"TABLE 13: Weekday Person and Driver Trips Per Household"
""
"County","HHSIZ","Single.nnpt","Multiple.nnpt","Total.nnpt","Single.nndt","Multiple.nndt","Total.nndt"
"Del Norte","5+",11.783415893835,2.70312047149175,9.15204944772118,5.9137844724713,0.935654082450927,4.47117884529681
"Del Norte","Total",8.66674420254162,3.57404530129709,7.63678735807833,6.41259055988137,1.95603546041933,5.51128861440468
"El Dorado","1",3.31085961862957,2.18654885669853,3.15328206359181,3.31085961862957,2.18654885669853,3.15328206359181
"El Dorado","2",4.72575656776402,2.4085260750047,4.48408892763133,3.75949019356828,1.15543825501483,3.48790949033673
"El Dorado","3",5.97612625653717,9.35615144489325,6.24776634624867,4.38087032714276,4.94992615873841,4.42660323400926
"El Dorado","4",18.3345342431357,4.92803152088645,15.7663954506058,11.5103699339012,1.82705022650148,9.65544106123014
"El Dorado","5+",14.0302481921423,33.5456987535776,15.4788872793832,6.61611214374628,23.3248691025303,7.85640933050631
"El Dorado","Total",7.3802623416812,4.76916623433649,7.06112045767527,5.196069937774,2.6985940140034,4.89081530952436
"Fresno","1",2.80615354600545,1.794089687583,2.3790114577823,2.55230512360112,1.62491470126518,2.16089950398717
"Fresno","2",6.10481577118247,6.34651054800756,6.14250477982353,4.87789896268572,4.40574895406717,4.80427359937231
"Fresno","3",10.9213023252848,4.57136703696455,9.99380240626888,7.75289565065109,3.33203055904516,7.1071643434381
"Fresno","4",14.5837591951432,8.95196465601677,13.6898930230551,8.08114669326947,3.13872476707814,7.29669624194069
"Fresno","5+",17.8866995960494,25.4602865887169,18.3449205645546,10.2238069177436,11.0078129664582,10.2712412459297
"Fresno","Total",10.1628113053655,5.27249405782815,9.18696921710698,6.5683956252955,3.06986666813975,5.87027899388413
"Glenn","1",1.70186412660012,1.45216104045442,1.67310707895092,1.48263753918997,1.45216104045442,1.47912771422206
"Glenn","2",6.2091051891932,9.10573594291853,6.52140796693545,5.7536678558532,5.55293039296071,5.73202517075168
"Glenn","3",10.0546844672096,4.97541945963454,9.93555903796688,8.28283728067871,2.14259422396289,8.13882843516758
"Glenn","4",11.8430963760617,11.5061846357871,11.7916768814246,7.00214087353046,6.49189144126643,6.92426656756376
"Glenn","5+",10.9202088067844,24.8904948234628,14.1517099315415,6.83150544702213,4.89325518578133,6.38316402496515
"Glenn","Total",7.28401645075708,11.2990504712706,7.75625755036318,5.57929413249654,4.65945451188411,5.47110424626397
"Humboldt","1",2.850936728364,2.80906371278124,2.83859121184784,2.50401958227278,2.65415752261194,2.54828509304059
"Humboldt","2",5.26715610114683,6.79719786249376,5.44768374619264,4.221207833556,5.8297292545854,4.41099519196675
"Humboldt","3",8.54531923282412,25.2644568505761,9.24740538085357,6.63107868066305,13.4532607144976,6.91756232681744
"Humboldt","4",16.8611781820621,9.49835851511562,15.559532341443,10.0478529942459,3.61825117874748,8.91118730928402
"Humboldt","5+",16.0588487334332,17.814253601209,16.2319002352616,11.2479089952635,0,10.1390664827517
"Humboldt","Total",7.12072395855842,5.9309857086742,6.919749786647,5.25248717499579,3.86331783347637,5.01782450185422
"Imperial","1",1.40286816189237,1.97670048610745,1.64783403716911,1.38851803990673,1.96607564899121,1.63507421888401
"Imperial","2",5.58663632107517,10.4922720337859,6.34476237083438,4.6873038381352,9.35458169326654,5.40859362210167
